Jop Title,Company Name,Location,Skills,Links,JopDescription
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart TimeFreelance / ProjectEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),https://wuzzuf.net/jobs/p/UqIDCNx73M7a-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=data science|search-v3|hpb,"Epsilon AI Institute is hiring Data Science instructors who Manage and delivers the course materials to trainees in an engaging thought-provoking mannerThe successful candidate will be able to contribute to the delivery of topics relating to Artificial Intelligence, Machine Learning, Data Science and ProgrammingEngage in the classroom and reply to emails, Trainees’ questions, etc. within 24 hours on non-holiday weekdays.Evaluate and grade Trainees' class work, assignments, and papers within the timeframe set forth by Epsilon AI policy providing effective feedback to guide Trainees' learning and success.Maintain the cadence of the course: Keep Trainees on track, monitor each individual's progress, and design and implement learning or service interventions when Trainees fall behind"
Medical Data Processor (Science Graduates),NEXtCARE -,"New Cairo, Cairo, Egypt ",Full TimeShift BasedExperienced · 2+ Yrs of Exp · Administration · R&D/Science · Science · Health Care · Insurance · Data Entry · Veterinary · Data Processor · English · Administration,https://wuzzuf.net/jobs/p/nPY4zAoYCxPL-Medical-Data-Processor-Science-Graduates-NEXtCARE-Cairo-Egypt?o=2&l=sp&t=sj&a=data science|search-v3|hpb,"Ensure that insurance claims information is entered into the system correctly, to ensure accurate processing and timely payment.Ensure that provider’s fees and service items charges coincide with their existing contract price list.Ensure the accuracy of the entered data as per the existing standard steps and procedures of direct claims processing.Compare data on claims applications.Screen claim documents and process claim adjustment.Ensure adaptability in various work-related tasks to be able to facilitate a multi-tasking role.Ensure that a high-quality standard of work performance is achieved at all times.Benefits:Medical and Social insurance."
Data & Analytics Lead,Kashier Payment Solutions -,"Zamalek, Cairo, Egypt ",Full TimeManager · 7+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data · Data Analysis · English · Information Technology (IT) · Python · SQL,https://wuzzuf.net/jobs/p/2JjD8xF9Q6r6-Data-Analytics-Lead-Kashier-Payment-Solutions-Cairo-Egypt?o=3&l=sp&t=sj&a=data science|search-v3|hpb,Strong knowledge and hands-on experience working on projects that include advanced Data Science techniques.Oversee the execution of all analysis requirements of the operations teams.Create and maintain our dashboards and reporting infrastructure.Oversee and execute data products that improve our quality and efficiency.Work alongside the engineering team to restructure our databases and improve our analysis performance.Work alongside the product team to maintain the health of our different products.Understand how different product features impact our performance.Proven track record of delivering commercial returns.Strong communicator - ability to deliver complex data analysis to non-technical stakeholders.
Data Scientist & BI Developer,Easy System -,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Data Science · Information Technology (IT) · Data · Computer Science · Oracle Obiee · Microsoft Power BI · Power BI,https://wuzzuf.net/jobs/p/i0p1MSNfwMyF-Data-Scientist-BI-Developer-Easy-System-Cairo-Egypt?o=4&l=sp&t=sj&a=data science|search-v3|hpb,"Work throughout the organization to identify opportunities for leveraging customer data to drive business solutions.Mine and analyze data from customer's databases to drive optimization and improvement of product development, marketing techniques and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.Develop company A/B testing framework and test model quality.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy."
Junior Data Warehouse Engineer/ Data Engineer,360Imaging -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · DBT · ML · Looker · Tableau · Python · SQL,https://wuzzuf.net/jobs/p/ocB9rf9R68Wf-Junior-Data-Warehouse-Engineer-Data-Engineer-360Imaging-Giza-Egypt?o=5&l=sp&t=sj&a=data science|search-v3|hpb," Develop, construct, test and maintain architecturesAlign architecture with business requirementsData acquisitionDevelop data set processesUse programming language and toolsIdentify ways to improve data reliability, efficiency and qualityConduct research for industry and business questionsUse large data sets to address business issuesDeploy sophisticated analytics programs, machine learning and statistical methodsPrepare data for predictive and prescriptive modelingFind hidden patterns using dataUse data to discover tasks that can be automatedDeliver updates to stakeholders based on analytics"
Data Analyst,Knoz Elhekma Company -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Data Analyst · Information Technology (IT) · Analysis · Computer Science · Data Analysis · Software,https://wuzzuf.net/jobs/p/Xz1bpU3M2ESY-Data-Analyst-Knoz-Elhekma-Company-Cairo-Egypt?o=6&l=sp&t=sj&a=data science|search-v3|hpb,"Managing master data, including creation, updates, and deletion.Managing users and user roles.Provide quality assurance of imported data, working with quality assurance analysts if necessary.Processing confidential data and information according to guidelines.Helping develop reports and analysis.Managing and designing the reporting environment, including data sources, security, and metadata.Supporting the data system in identifying and revising reporting requirements.Supporting initiatives for data integrity and implementation.Assessing tests implementing new or upgraded software and assisting with strategic decisions on new systems.Generating reports from single or multiple systems.Troubleshooting the reporting database environment and reports.Evaluating changes and updates to source production systems.Training end-users on new reports and dashboards.Providing technical expertise in data storage structures, data mining, and data cleansing."
Big Data Engineer,Azentio Software -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Big Data · Hadoop · Spark · Algorithms · Computer Engineering · Computer Science · Data · Engineering,https://wuzzuf.net/jobs/p/dUhak4phdIHH-Big-Data-Engineer-Path-Solutions-Cairo-Egypt?o=7&l=sp&t=sj&a=data science|search-v3|hpb,"Path Solutions is looking to hire a Big Data Developer for its office in Maadi , Egypt.Specifies, designs, implements, tests, and maintains platform-independent, complex software system components and applications.Duties involve working on existing source code to incorporate new features; ensure that the piece of code written is bug-free.Works under direct supervision on assigned team, project components, and or develop and modify existing source code. Duties also involve working on, or integrating with other path solutions product components and applications.Works to fix bugs and conducts unit testing, make necessary changes to source code and document them.Ensure that Path Solutions development standards & QMS are followed.Designs and implements algorithms for assigned tasks.Executes development assignments to include design of conceptual approach, coding and debugging.Determines the time estimates and work plan necessary to achieve the goals for building, testing and maintaining quality software to general specification.Communicates information directly and clearly. Checks for clarity and understanding during a conversation using active feedback, reflection, and other communication techniques.Facilitates and moderates issue identification and resolution. Identifies, communicates and resolves conflicts with the individuals involved.Acts with a perspective of achieving continuous improvements"
Data Management & Analytics Consultant - ETL & BI,Ejada (Cairo) -,"Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · ETL · Qlik · SQL · SSIS · Informatica ETL · Tableau,https://wuzzuf.net/jobs/p/P2HbjnHsdDZV-Data-Management-Analytics-Consultant---ETL-BI-Ejada-Cairo-Cairo-Egypt?o=8&l=sp&t=sj&a=data science|search-v3|hpb,"Job SummaryThe Data Management and Analytics Consultant will work closely with Ejada clients in Saudi Arabia and Egypt, technology partners, and team to develop solutions for Ejada clients.  Typical projects focus on areas such as:Data ManagementData WarehousingAnalytics & Business IntelligenceData IntegrationData Science & Machine Learning Tasks,Work with both business and technical leaders at our clientsLearn and work with cutting-edge technologies (Tableau, MS Power BI, Alteryx, …)Gain knowledge about industries such as; Government, retail, Banking, etc.Lead a team to help design and architect data and analytical solutions for our clients.Leading and developing data warehouse and business intelligence solutionsDatamart/Data warehouse modeling based on business requirements, and optimization of data models for business intelligence implementationsWork directly with clients to understand and document their business needs and technology requirementsDesign, code and test data centric solutionsMentor and help grow the careers of team members"
Senior Integration Engineer [IBM APIC & Data power],Ejada (Cairo) -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Big Data · Business Intelligence · Engineering · BI · Oracle · SQL · RESTful APIs Design · SOAP Interface Design,https://wuzzuf.net/jobs/p/hdOl74CFkMSs-Senior-Integration-Engineer-IBM-APIC-Data-power-Ejada-Cairo-Cairo-Egypt?o=9&l=sp&t=sj&a=data science|search-v3|hpb,"Job Description & Key ResponsibilitiesAnalyze customer requirements and break down into implementation tasksAnalyze and design DataPower services interfaces according to business requirement.Be involved in high level and low level technical design.Analyze and document software test cases.Provide technical guidance and support to his team membersReview and qualify his team members deliverables (e.g. source code, testing scenarios and output, etc.…)Develop high quality APIs and DataPower services using best development practices and enterprise design patterns as part of Enterprise TeamCreate good and sufficient unit tests to test the software, both functional and performance testing.Contribute in identifying and solving problems"
Data Mining Specialist,Talaat Moustafa Group -,"Dokki, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Data Mining · Research · computer · Computer Science · Customer Service · Data Entry · Microsoft Office,https://wuzzuf.net/jobs/p/MGmOo39pzAB4-Data-Mining-Specialist-Talaat-Moustafa-Group-Giza-Egypt?o=10&l=sp&t=sj&a=data science|search-v3|hpb,"Strategy & PlanningCreate data mining architectures, coding standards, statistical reporting, and data analysis methodologies.Devise, develop, and deploy required data queries in response to business user needs.In conjunction with data owners and department managers, develop data models and protocols for mining production databases.Assist in the development of data management policies and procedures. Acquisition & DeploymentConduct research and make recommendations on data mining products, services, protocols, and standards in support of procurement and development efforts. Operational ManagementWork with application development staff to coordinate the creation and management of data queries.Collaborate with unit managers, end users, development staff, and other stakeholders to integrate data mining applications with existing systems. Provide and apply quality assurance best practices for data mining/analysis services across the organization.Develop, implement, and maintain change control and testing processes for modifications to data models.Create data definitions for new database file/table development and/or changes to existing ones.Determine required network components to ensure data access, as well as data consistency and integrity.Develop routines for end users to facilitate best practices use of data mining tools.Collaborate with database and disaster recovery administrators to ensure effective protection and integrity of data assets.Monitor data mining system details within the database, including stored procedures and execution time, and implement efficiency improvements.Respond to and resolve data mining performance issues.Manage and/or provide guidance to junior members of the team."
Business Data Analyst,R&S Management Consultancy -,"Maadi, Cairo, Egypt ",InternshipStudent · IT/Software Development · Analyst/Research · CRM · ERP · Business Analysis · Computer Science · Information Technology (IT) · Information Analysis,https://wuzzuf.net/jobs/p/hRSfmpGIHMqC-Business-Data-Analyst-RS-Management-Consultancy-Cairo-Egypt?o=11&l=sp&t=sj&a=data science|search-v3|hpb,"Our Client is the market leader of manufacturing and promoting Concrete Building products, services, design & engineering for factories in Egypt and neighboring countries located in Cairo, Egypt.They are on the hunt for a strong hands-on Talented  “Business Data Analyst”:The selected candidate will be responsible for :-Interpret data, analyze results using statistical techniques and provide ongoing reports and dashboards.Develop and implement databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and qualityAcquire data from primary or secondary data sources and maintain databases/data systemsIdentify, analyze, and interpret trends or patterns in complex data setsWork with production, sales and marketing departments to prioritize business and information needsApplication Deadline: Till the 27th  January 2022Internship Start date: February 2022 "
Data Analysis Administrator/ Specialist,LG Electronics -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Operations/Management · Analyst/Research · Business Intelligence · SQL · BI · Data · Information Technology (IT) · Analysis · Reporting,https://wuzzuf.net/jobs/p/OEy5PUFQS8Gv-Data-Analysis-Administrator-Specialist-LG-Electronics-Cairo-Egypt?o=12&l=sp&t=sj&a=data science|search-v3|hpb,"Managing master data, including creation, updates, and deletion.Managing users and user roles.Provide quality assurance of imported data for GSMS System , working with quality assurance analysts if necessary .Processing confidential data and information according to guidelines.Helping develop reports and analysis.Managing and designing the reporting environment, including data sources per shops and sell out Supporting GTM Team in all types of reports which is related to LG Sales Advisors .. "
Senior Data Engineer,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Data Science · Data,https://wuzzuf.net/jobs/p/PHDNDnhoHGuK-Senior-Data-Engineer-Andela-Cairo-Egypt?o=13&l=sp&t=sj&a=data science|search-v3|hpb,"Job descriptionWe are looking for an engineer skilled in developing analytics, BI, data vis platformsPrimary Skills Required: Looker engineer skilled in data vis, snowflake, data engineering, data architectures, reporting/analytics and dashboard building, data warehousing, SQL.Our Andelan Data Engineers are masters of consistent execution. They reliably deliver technical and professional value to our teams and our partners.Specifically, you’ll:Use your knowledge in your core technology to delight our partners around the world.Mentor and onboard junior engineers, by consistently displaying sound judgment, setting expectations, and working effectively, both independently and as part of a global team.Collaborate excellently with peers and stakeholders in fast-paced distributed teams, through a love of constructive feedback, dedication, and universal respect.What You’ll GetCompetitive compensationOpportunity to work with the brightest minds inside and outside of your fieldA chance to change the world for the better"
Data Developer Team Lead - ETL,KnowledgeNet -,"Nasr City, Cairo, Egypt ",Full TimeManager · 7 - 12 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · ETL · Microsoft SQL Server · Data Developer · Data Stage,https://wuzzuf.net/jobs/p/SFHqdKwnbrXt-Data-Developer-Team-Lead---ETL-KnowledgeNet-Cairo-Egypt?o=14&l=sp&t=sj&a=data science|search-v3|hpb,"Position Summary:

Responsible for the analysis of data integration requirements and the development of technical specifications.
Develops, tests, debugs and implements ETL jobs for existing and/or proposed data integration solutions.

Process Management:

Assists in the development of estimates for projects
Contributes to defining time tables and project plans
Assists in the definition of milestones

Project Coordination:

Performs all data integration life-cycle and quality assurance for the work of other team members, including the review of high-level designs, detail designs, developing ETL jobs, and test plans and results
Instructs, assigns, directs, and reviews the work produced by other team members on the Team
Reports status and issues to project manager as necessary
Assists in coordinating the implementation of changes to improve performance against metric targets
Provides support and on-the-job training to more junior or less experienced team members
Provides input to Team Leads on team member performance

Application Design:

Designs new data integration jobs (ETL) solution.
Translates functional requirements into technical requirements and design

Application Development:

Designs and codes complex ETL jobs and work packages
Evaluates complex data integration requirements and processes
Provides ETL jobs and user support and performs troubleshooting
Provides production support as necessary
Prepares the development environment

Testing:

Create, reviews and refines test cases, scenarios and scripts to ensure data integration quality
Prepares the test environment
Analyzes results of testing sessions and presents results
Works with users to review test results to ensure they meet expected results
Conforms to quality assurance test standards

Documentation:

Create documentation for end user describing the installation, use, and customization of data integration components as necessary
"
Data Analysis Instructor (Excel - Power BI),EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart TimeFreelance / ProjectEntry Level · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL,https://wuzzuf.net/jobs/p/eeIZfwzAOeq1-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=15&l=sp&t=sj&a=data science|search-v3|hpb,"As a Data Analysis Instructor, you will guide your Trainees through hands-on exercises, and introduce important tools such as SQL, Excel, Power BIAll of our classes are part-time, designed to fit into your work schedule so you will be able to enjoy teaching while still being able to manage your full-time responsibilities at your current company.Ability to connect and build relationships with Trainees and colleagues from varied ethnicities, ages, backgrounds, learning styles, and abilitiesDelivering training across the entire organizationSomeone who has an obsession with constantly learning new technologies, a personal dedication to always be up to date with the very latest coding languages, deployment technologies, and industry best practices.Utilizing a variety of training methodologies, techniques, concepts, learning tools, and practices to ensure maximum effectiveness of training programs"
